payment_id,case_id,county_code,county,payment_date,payment_type,amount,obligation_id
P0000001,C00001,001,Wake,2026-06-21,CURRENT,13.88,O0000001
P0000002,C00001,001,Wake,2026-06-28,CURRENT,346.22,O0000001
P0000003,C00001,001,Wake,2026-06-19,CURRENT,103.31,O0000001
P0000004,C00001,001,Wake,2026-07-21,CURRENT,469.79,O0000002
P0000006,C00002,002,Durham,2026-06-19,CURRENT,214.45,O0000004
P0000007,C00002,002,Durham,2026-06-13,CURRENT,229.03,O0000004
P0000008,C00002,002,Durham,2026-07-12,CURRENT,136.66,O0000005
P0000009,C00002,002,Durham,2026-07-20,CURRENT,16.64,O0000005
P0000010,C00002,002,Durham,2026-07-08,CURRENT,251.53,O0000005
P0000014,C00003,003,Orange,2026-06-03,CURRENT,538.54,O0000007
P0000015,C00003,003,Orange,2026-06-24,CURRENT,24.01,O0000007
P0000016,C00003,003,Orange,2026-06-12,ARREARS,50.0,
P0000017,C00003,003,Orange,2026-07-02,CURRENT,642.54,O0000008
P0000020,C00004,004,Johnston,2026-06-28,CURRENT,82.88,O0000010
P0000021,C00004,004,Johnston,2026-06-24,CURRENT,315.75,O0000010
P0000022,C00004,004,Johnston,2026-07-13,CURRENT,400.7,O0000011
P0000023,C00004,004,Johnston,2026-08-25,CURRENT,211.99,O0000012
P0000024,C00004,004,Johnston,2026-08-10,CURRENT,194.61,O0000012
P0000025,C00004,004,Johnston,2026-08-08,ARREARS,125.0,
P0000026,C00005,005,Chatham,2026-06-16,CURRENT,17.12,O0000013
P0000027,C00005,005,Chatham,2026-06-16,CURRENT,346.84,O0000013
P0000028,C00005,005,Chatham,2026-06-08,CURRENT,0.59,O0000013
P0000029,C00005,005,Chatham,2026-07-02,CURRENT,93.95,O0000014
P0000030,C00005,005,Chatham,2026-07-15,CURRENT,221.43,O0000014
P0000031,C00005,005,Chatham,2026-08-04,CURRENT,331.83,O0000015
P0000032,C00006,006,Alamance,2026-06-07,CURRENT,569.04,O0000016
P0000033,C00006,006,Alamance,2026-07-05,CURRENT,473.76,O0000017
P0000034,C00006,006,Alamance,2026-07-25,CURRENT,69.11,O0000017
P0000035,C00006,006,Alamance,2026-08-21,CURRENT,574.33,O0000018
P0000036,C00007,007,Cumberland,2026-06-06,CURRENT,261.28,O0000019
P0000037,C00007,007,Cumberland,2026-07-07,CURRENT,296.86,O0000020
P0000038,C00007,007,Cumberland,2026-08-25,CURRENT,295.5,O0000021
P0000039,C00008,008,Guilford,2026-06-12,CURRENT,2.36,O0000022
P0000040,C00008,008,Guilford,2026-06-28,CURRENT,253.29,O0000022
P0000041,C00008,008,Guilford,2026-06-11,CURRENT,120.03,O0000022
P0000042,C00008,008,Guilford,2026-07-05,CURRENT,42.38,O0000023
P0000043,C00008,008,Guilford,2026-07-06,CURRENT,350.48,O0000023
P0000044,C00008,008,Guilford,2026-08-15,CURRENT,291.58,O0000024
P0000045,C00008,008,Guilford,2026-08-09,CURRENT,70.66,O0000024
P0000046,C00009,001,Wake,2026-06-13,CURRENT,430.82,O0000025
P0000047,C00009,001,Wake,2026-07-02,CURRENT,201.69,O0000026
P0000048,C00009,001,Wake,2026-07-25,CURRENT,251.0,O0000026
P0000049,C00009,001,Wake,2026-08-27,CURRENT,447.84,O0000027
P0000050,C00010,002,Durham,2026-06-17,CURRENT,39.28,O0000028
P0000051,C00010,002,Durham,2026-06-15,CURRENT,271.62,O0000028
P0000052,C00010,002,Durham,2026-07-04,CURRENT,261.67,O0000029
P0000053,C00010,002,Durham,2026-07-06,CURRENT,23.76,O0000029
P0000054,C00010,002,Durham,2026-08-12,CURRENT,143.95,O0000030
P0000055,C00010,002,Durham,2026-08-24,CURRENT,124.69,O0000030
P0000056,C00011,003,Orange,2026-06-15,CURRENT,393.75,O0000031
P0000057,C00011,003,Orange,2026-07-26,CURRENT,471.01,O0000032
P0000058,C00011,003,Orange,2026-08-11,CURRENT,413.64,O0000033
P0000059,C00012,004,Johnston,2026-06-05,CURRENT,361.75,O0000034
P0000060,C00012,004,Johnston,2026-07-08,CURRENT,69.5,O0000035
P0000061,C00012,004,Johnston,2026-07-14,CURRENT,34.98,O0000035
P0000062,C00012,004,Johnston,2026-07-26,CURRENT,267.63,O0000035
P0000063,C00012,004,Johnston,2026-08-14,CURRENT,177.56,O0000036
P0000064,C00012,004,Johnston,2026-08-23,CURRENT,172.11,O0000036
P0000065,C00012,004,Johnston,2026-08-14,CURRENT,32.85,O0000036
P0000066,C00013,005,Chatham,2026-06-02,CURRENT,527.33,O0000037
P0000067,C00013,005,Chatham,2026-07-03,CURRENT,480.53,O0000038
P0000068,C00013,005,Chatham,2026-08-05,CURRENT,100.65,O0000039
P0000069,C00013,005,Chatham,2026-08-22,CURRENT,391.01,O0000039
P0000070,C00014,006,Alamance,2026-06-13,CURRENT,562.62,O0000040
P0000071,C00014,006,Alamance,2026-06-10,ARREARS,50.0,
P0000072,C00014,006,Alamance,2026-07-20,CURRENT,552.47,O0000041
P0000073,C00014,006,Alamance,2026-07-22,ARREARS,125.0,
P0000074,C00014,006,Alamance,2026-08-01,CURRENT,175.91,O0000042
P0000075,C00014,006,Alamance,2026-08-16,CURRENT,409.8,O0000042
P0000076,C00015,007,Cumberland,2026-06-13,CURRENT,460.0,O0000043
P0000077,C00015,007,Cumberland,2026-06-06,CURRENT,101.74,O0000043
P0000078,C00015,007,Cumberland,2026-07-08,CURRENT,381.59,O0000044
P0000079,C00015,007,Cumberland,2026-07-02,CURRENT,110.81,O0000044
P0000080,C00015,007,Cumberland,2026-08-09,CURRENT,536.3,O0000045
P0000081,C00016,008,Guilford,2026-06-07,CURRENT,534.34,O0000046
P0000082,C00016,008,Guilford,2026-07-18,CURRENT,539.13,O0000047
P0000083,C00016,008,Guilford,2026-08-15,CURRENT,547.2,O0000048
P0000084,C00017,001,Wake,2026-06-17,CURRENT,18.73,O0000049
P0000085,C00017,001,Wake,2026-06-04,CURRENT,583.99,O0000049
P0000086,C00017,001,Wake,2026-07-25,CURRENT,581.4,O0000050
P0000087,C00017,001,Wake,2026-08-11,CURRENT,8.4,O0000051
P0000088,C00017,001,Wake,2026-08-04,CURRENT,537.37,O0000051
P0000089,C00018,002,Durham,2026-06-04,CURRENT,264.82,O0000052
P0000090,C00018,002,Durham,2026-06-02,CURRENT,7.51,O0000052
P0000091,C00018,002,Durham,2026-06-06,CURRENT,66.22,O0000052
P0000092,C00018,002,Durham,2026-07-09,CURRENT,349.96,O0000053
P0000093,C00018,002,Durham,2026-08-05,CURRENT,313.98,O0000054
P0000094,C00019,003,Orange,2026-06-17,CURRENT,387.63,O0000055
P0000095,C00019,003,Orange,2026-07-24,CURRENT,144.35,O0000056
P0000096,C00019,003,Orange,2026-07-16,CURRENT,176.4,O0000056
P0000097,C00019,003,Orange,2026-07-11,ARREARS,100.0,
P0000098,C00019,003,Orange,2026-08-16,CURRENT,166.33,O0000057
P0000099,C00019,003,Orange,2026-08-02,CURRENT,158.28,O0000057
P0000100,C00020,004,Johnston,2026-06-02,CURRENT,260.4,O0000058
P0000101,C00020,004,Johnston,2026-06-22,CURRENT,404.3,O0000058
P0000102,C00020,004,Johnston,2026-07-03,CURRENT,657.74,O0000059
P0000103,C00020,004,Johnston,2026-08-14,CURRENT,310.24,O0000060
P0000104,C00020,004,Johnston,2026-08-07,CURRENT,294.28,O0000060
P0000105,C00021,005,Chatham,2026-06-22,CURRENT,379.65,O0000061
