case_id,fiscal_year,arrears_balance,arrears_collected
C00001,2026,1200.0,240.0
C00002,2026,1200.0,360.0
C00003,2026,200.0,40.0
C00004,2026,800.0,320.0
C00005,2026,600.0,180.0
C00006,2026,0.0,0.0
C00007,2026,200.0,60.0
C00008,2026,1200.0,0.0
C00009,2026,1200.0,120.0
C00010,2026,0.0,0.0
C00011,2026,0.0,0.0
C00012,2026,0.0,0.0
C00013,2026,200.0,20.0
C00014,2026,600.0,60.0
C00015,2026,600.0,180.0
C00016,2026,0.0,0.0
C00017,2026,0.0,0.0
C00018,2026,0.0,0.0
C00019,2026,0.0,0.0
C00020,2026,0.0,0.0
C00021,2026,0.0,0.0
C00022,2026,1500.0,600.0
C00023,2026,200.0,60.0
C00024,2026,400.0,120.0
C00025,2026,1500.0,0.0
C00026,2026,0.0,0.0
C00027,2026,1500.0,600.0
C00028,2026,800.0,240.0
C00029,2026,1500.0,150.0
C00030,2026,1200.0,360.0
C00031,2026,1500.0,0.0
C00032,2026,0.0,0.0
C00033,2026,400.0,40.0
C00034,2026,0.0,0.0
C00035,2026,1500.0,450.0
C00036,2026,800.0,0.0
C00037,2026,200.0,20.0
C00038,2026,800.0,80.0
C00039,2026,600.0,120.0
C00040,2026,600.0,120.0
C00041,2026,0.0,0.0
C00042,2026,1200.0,0.0
C00043,2026,400.0,120.0
C00044,2026,800.0,240.0
C00045,2026,800.0,80.0
C00046,2026,600.0,240.0
C00047,2026,0.0,0.0
C00048,2026,400.0,0.0
C00049,2026,1200.0,120.0
C00050,2026,600.0,240.0
C00051,2026,600.0,180.0
C00052,2026,800.0,80.0
C00053,2026,200.0,0.0
C00054,2026,0.0,0.0
C00055,2026,400.0,40.0
C00056,2026,200.0,60.0
C00057,2026,1500.0,450.0
C00058,2026,1500.0,0.0
C00059,2026,200.0,80.0
C00060,2026,0.0,0.0
C00061,2026,200.0,0.0
C00062,2026,1200.0,0.0
C00063,2026,400.0,160.0
C00064,2026,0.0,0.0
C00065,2026,400.0,120.0
C00066,2026,200.0,0.0
C00067,2026,0.0,0.0
C00068,2026,0.0,0.0
C00069,2026,200.0,40.0
C00070,2026,1200.0,240.0
C00071,2026,0.0,0.0
C00072,2026,1500.0,600.0
C00073,2026,0.0,0.0
C00074,2026,0.0,0.0
C00075,2026,200.0,0.0
C00076,2026,800.0,0.0
C00077,2026,200.0,80.0
C00078,2026,200.0,20.0
C00079,2026,0.0,0.0
C00080,2026,1200.0,480.0
C00081,2026,400.0,120.0
C00082,2026,600.0,240.0
C00083,2026,1500.0,300.0
C00084,2026,200.0,60.0
C00085,2026,0.0,0.0
C00086,2026,200.0,40.0
C00087,2026,1200.0,120.0
C00088,2026,800.0,0.0
C00089,2026,1500.0,450.0
C00090,2026,0.0,0.0
C00091,2026,400.0,0.0
C00092,2026,1500.0,450.0
C00093,2026,600.0,240.0
C00094,2026,1200.0,120.0
C00095,2026,0.0,0.0
C00096,2026,1200.0,0.0
C00097,2026,600.0,180.0
C00098,2026,400.0,120.0
C00099,2026,800.0,0.0
C00100,2026,200.0,20.0
C00101,2026,0.0,0.0
C00102,2026,200.0,20.0
C00103,2026,0.0,0.0
C00104,2026,400.0,40.0
C00105,2026,600.0,120.0
C00106,2026,800.0,240.0
C00107,2026,200.0,40.0
C00108,2026,200.0,0.0
C00109,2026,200.0,20.0
C00110,2026,400.0,120.0
C00111,2026,400.0,80.0
C00112,2026,0.0,0.0
C00113,2026,0.0,0.0
C00114,2026,1500.0,300.0
C00115,2026,400.0,0.0
C00116,2026,400.0,40.0
C00117,2026,1500.0,600.0
C00118,2026,800.0,240.0
C00119,2026,1500.0,300.0
C00120,2026,0.0,0.0
C00121,2026,200.0,80.0
C00122,2026,600.0,180.0
C00123,2026,200.0,20.0
C00124,2026,1200.0,360.0
C00125,2026,600.0,0.0
C00126,2026,200.0,60.0
C00127,2026,0.0,0.0
C00128,2026,400.0,0.0
C00129,2026,400.0,120.0
C00130,2026,600.0,120.0
C00131,2026,600.0,120.0
C00132,2026,200.0,80.0
C00133,2026,200.0,20.0
C00134,2026,0.0,0.0
C00135,2026,1500.0,450.0
C00136,2026,600.0,240.0
C00137,2026,600.0,240.0
C00138,2026,0.0,0.0
C00139,2026,1500.0,300.0
C00140,2026,600.0,0.0
C00141,2026,0.0,0.0
C00142,2026,1500.0,600.0
C00143,2026,1500.0,150.0
C00144,2026,0.0,0.0
C00145,2026,400.0,80.0
C00146,2026,200.0,40.0
C00147,2026,1500.0,450.0
C00148,2026,800.0,160.0
C00149,2026,1500.0,150.0
C00150,2026,800.0,80.0
C00151,2026,200.0,20.0
C00152,2026,0.0,0.0
C00153,2026,200.0,80.0
C00154,2026,0.0,0.0
C00155,2026,0.0,0.0
C00156,2026,0.0,0.0
C00157,2026,600.0,60.0
C00158,2026,200.0,20.0
C00159,2026,200.0,40.0
C00160,2026,1200.0,480.0
C00161,2026,600.0,180.0
C00162,2026,0.0,0.0
C00163,2026,0.0,0.0
C00164,2026,400.0,40.0
C00165,2026,1200.0,240.0
C00166,2026,400.0,120.0
C00167,2026,200.0,80.0
C00168,2026,1500.0,600.0
C00169,2026,600.0,180.0
C00170,2026,1200.0,120.0
C00171,2026,0.0,0.0
C00172,2026,1500.0,450.0
C00173,2026,0.0,0.0
C00174,2026,800.0,0.0
C00175,2026,600.0,0.0
C00176,2026,1200.0,120.0
C00177,2026,1500.0,150.0
C00178,2026,0.0,0.0
C00179,2026,1500.0,150.0
C00180,2026,400.0,80.0
C00181,2026,600.0,120.0
C00182,2026,0.0,0.0
C00183,2026,400.0,0.0
C00184,2026,0.0,0.0
C00185,2026,0.0,0.0
C00186,2026,0.0,0.0
C00187,2026,1200.0,240.0
C00188,2026,400.0,40.0
C00189,2026,600.0,120.0
C00190,2026,1200.0,360.0
C00191,2026,400.0,80.0
C00192,2026,200.0,60.0
C00193,2026,600.0,180.0
C00194,2026,600.0,180.0
C00195,2026,1200.0,480.0
C00196,2026,1200.0,0.0
C00197,2026,1200.0,120.0
C00198,2026,800.0,80.0
C00199,2026,1200.0,0.0
C00200,2026,400.0,80.0
C00201,2026,1500.0,600.0
C00202,2026,200.0,20.0
C00203,2026,400.0,120.0
C00204,2026,800.0,0.0
C00205,2026,0.0,0.0
C00206,2026,400.0,0.0
C00207,2026,1500.0,0.0
C00208,2026,1200.0,240.0
C00209,2026,400.0,80.0
C00210,2026,200.0,80.0
C00211,2026,0.0,0.0
C00212,2026,0.0,0.0
C00213,2026,400.0,40.0
C00214,2026,1500.0,150.0
C00215,2026,200.0,40.0
C00216,2026,200.0,40.0
C00217,2026,1200.0,0.0
C00218,2026,800.0,0.0
C00219,2026,0.0,0.0
C00220,2026,800.0,160.0
C00221,2026,800.0,240.0
C00222,2026,200.0,80.0
C00223,2026,200.0,60.0
C00224,2026,1500.0,450.0
C00225,2026,800.0,320.0
C00226,2026,1500.0,450.0
C00227,2026,0.0,0.0
C00228,2026,0.0,0.0
C00229,2026,1500.0,600.0
C00230,2026,1500.0,600.0
C00231,2026,1500.0,150.0
C00232,2026,1500.0,0.0
C00233,2026,0.0,0.0
C00234,2026,0.0,0.0
C00235,2026,0.0,0.0
C00236,2026,0.0,0.0
C00237,2026,1200.0,360.0
C00238,2026,1200.0,0.0
C00239,2026,800.0,240.0
C00240,2026,0.0,0.0
C00241,2026,0.0,0.0
C00242,2026,800.0,320.0
C00243,2026,200.0,0.0
C00244,2026,400.0,40.0
C00245,2026,400.0,120.0
C00246,2026,0.0,0.0
C00247,2026,800.0,320.0
C00248,2026,0.0,0.0
C00249,2026,0.0,0.0
C00250,2026,0.0,0.0
C00251,2026,400.0,120.0
C00252,2026,1500.0,600.0
C00253,2026,200.0,80.0
C00254,2026,1500.0,0.0
C00255,2026,1200.0,0.0
C00256,2026,1500.0,150.0
C00257,2026,400.0,40.0
C00258,2026,600.0,180.0
C00259,2026,800.0,160.0
C00260,2026,400.0,0.0
C00261,2026,400.0,0.0
C00262,2026,0.0,0.0
C00263,2026,0.0,0.0
C00264,2026,600.0,180.0
C00265,2026,800.0,160.0
C00266,2026,1500.0,300.0
C00267,2026,1200.0,360.0
C00268,2026,1500.0,0.0
C00269,2026,1500.0,600.0
C00270,2026,200.0,40.0
C00271,2026,1500.0,450.0
C00272,2026,1200.0,0.0
C00273,2026,1500.0,300.0
C00274,2026,0.0,0.0
C00275,2026,0.0,0.0
C00276,2026,1500.0,600.0
C00277,2026,800.0,240.0
C00278,2026,1200.0,480.0
C00279,2026,200.0,0.0
C00280,2026,600.0,180.0
C00281,2026,0.0,0.0
C00282,2026,0.0,0.0
C00283,2026,0.0,0.0
C00284,2026,1500.0,0.0
C00285,2026,0.0,0.0
C00286,2026,0.0,0.0
C00287,2026,200.0,20.0
C00288,2026,800.0,240.0
C00289,2026,1500.0,0.0
C00290,2026,1200.0,120.0
C00291,2026,600.0,240.0
C00292,2026,0.0,0.0
C00293,2026,0.0,0.0
C00294,2026,1200.0,120.0
C00295,2026,1200.0,240.0
C00296,2026,800.0,160.0
C00297,2026,600.0,180.0
C00298,2026,0.0,0.0
C00299,2026,800.0,0.0
C00300,2026,1500.0,300.0
C00301,2026,200.0,20.0
C00302,2026,400.0,160.0
C00303,2026,0.0,0.0
C00304,2026,600.0,60.0
C00305,2026,600.0,0.0
C00306,2026,0.0,0.0
C00307,2026,600.0,0.0
C00308,2026,0.0,0.0
C00309,2026,400.0,0.0
C00310,2026,800.0,0.0
C00311,2026,0.0,0.0
C00312,2026,1500.0,300.0
C00313,2026,600.0,240.0
C00314,2026,800.0,0.0
C00315,2026,800.0,0.0
C00316,2026,0.0,0.0
C00317,2026,1500.0,300.0
C00318,2026,1200.0,240.0
C00319,2026,200.0,40.0
C00320,2026,600.0,0.0
C00321,2026,0.0,0.0
C00322,2026,0.0,0.0
C00323,2026,600.0,120.0
C00324,2026,0.0,0.0
C00325,2026,1200.0,120.0
C00326,2026,400.0,120.0
C00327,2026,0.0,0.0
C00328,2026,600.0,180.0
C00329,2026,0.0,0.0
C00330,2026,200.0,80.0
C00331,2026,600.0,60.0
C00332,2026,600.0,0.0
C00333,2026,400.0,160.0
C00334,2026,1500.0,0.0
C00335,2026,400.0,0.0
C00336,2026,1500.0,0.0
C00337,2026,800.0,240.0
C00338,2026,600.0,120.0
C00339,2026,800.0,0.0
C00340,2026,1200.0,0.0
C00341,2026,200.0,0.0
C00342,2026,1500.0,300.0
C00343,2026,0.0,0.0
C00344,2026,1200.0,240.0
C00345,2026,0.0,0.0
C00346,2026,0.0,0.0
C00347,2026,1200.0,0.0
C00348,2026,400.0,0.0
C00349,2026,200.0,0.0
C00350,2026,1500.0,300.0
C00351,2026,400.0,0.0
C00352,2026,400.0,0.0
C00353,2026,200.0,0.0
C00354,2026,800.0,0.0
C00355,2026,1500.0,450.0
C00356,2026,1200.0,480.0
C00357,2026,1200.0,480.0
C00358,2026,1500.0,150.0
C00359,2026,800.0,320.0
C00360,2026,400.0,0.0
