case_id,county_code,county,case_status,open_date
C00001,001,Wake,ACTIVE,2023-08-31
C00002,002,Durham,ACTIVE,2024-06-03
C00003,003,Orange,ACTIVE,2023-06-09
C00004,004,Johnston,ACTIVE,2023-12-02
C00005,005,Chatham,ACTIVE,2025-01-19
C00006,006,Alamance,ACTIVE,2024-12-06
C00007,007,Cumberland,ACTIVE,2026-03-07
C00008,008,Guilford,ACTIVE,2024-06-04
C00009,001,Wake,ACTIVE,2023-01-31
C00010,002,Durham,ACTIVE,2023-07-07
C00011,003,Orange,ACTIVE,2023-12-24
C00012,004,Johnston,ACTIVE,2024-01-19
C00013,005,Chatham,ACTIVE,2023-09-22
C00014,006,Alamance,ACTIVE,2025-03-26
C00015,007,Cumberland,ACTIVE,2026-01-08
C00016,008,Guilford,ACTIVE,2025-01-16
C00017,001,Wake,ACTIVE,2025-11-25
C00018,002,Durham,ACTIVE,2023-07-08
C00019,003,Orange,ACTIVE,2025-09-24
C00020,004,Johnston,ACTIVE,2024-05-30
C00021,005,Chatham,ACTIVE,2026-04-10
C00022,006,Alamance,ACTIVE,2023-10-17
C00023,007,Cumberland,ACTIVE,2024-07-17
C00024,008,Guilford,ACTIVE,2023-08-24
C00025,001,Wake,ACTIVE,2024-03-29
C00026,002,Durham,ACTIVE,2024-12-21
C00027,003,Orange,ACTIVE,2025-06-14
C00028,004,Johnston,ACTIVE,2024-03-10
C00029,005,Chatham,ACTIVE,2025-10-06
C00030,006,Alamance,ACTIVE,2026-01-30
C00031,007,Cumberland,ACTIVE,2025-09-11
C00032,008,Guilford,ACTIVE,2025-11-02
C00033,001,Wake,ACTIVE,2026-03-06
C00034,002,Durham,ACTIVE,2023-12-14
C00035,003,Orange,ACTIVE,2025-06-27
C00036,004,Johnston,ACTIVE,2024-07-27
C00037,005,Chatham,ACTIVE,2024-10-23
C00038,006,Alamance,ACTIVE,2023-01-17
C00039,007,Cumberland,ACTIVE,2023-05-06
C00040,008,Guilford,ACTIVE,2025-02-12
C00041,001,Wake,ACTIVE,2024-06-14
