case_id,report_month,current_due,current_collected
C00001,2026-06-01,550,463.41
C00001,2026-07-01,550,469.79
C00001,2026-08-01,550,0.0
C00002,2026-06-01,500,443.48
C00002,2026-07-01,500,404.83
C00002,2026-08-01,500,0.0
C00003,2026-06-01,750,562.55
C00003,2026-07-01,750,642.54
C00003,2026-08-01,750,0.0
C00004,2026-06-01,450,398.63
C00004,2026-07-01,450,400.7
C00004,2026-08-01,450,406.6
C00005,2026-06-01,450,364.55
C00005,2026-07-01,450,315.38
C00005,2026-08-01,450,331.83
C00006,2026-06-01,700,569.04
C00006,2026-07-01,700,542.87
C00006,2026-08-01,700,574.33
C00007,2026-06-01,350,261.28
C00007,2026-07-01,350,296.86
C00007,2026-08-01,350,295.5
C00008,2026-06-01,450,375.68
C00008,2026-07-01,450,392.86
C00008,2026-08-01,450,362.24
C00009,2026-06-01,550,430.82
C00009,2026-07-01,550,452.69
C00009,2026-08-01,550,447.84
C00010,2026-06-01,350,310.9
C00010,2026-07-01,350,285.43
C00010,2026-08-01,350,268.64
C00011,2026-06-01,550,393.75
C00011,2026-07-01,550,471.01
C00011,2026-08-01,550,413.64
C00012,2026-06-01,400,361.75
C00012,2026-07-01,400,372.11
C00012,2026-08-01,400,382.52
C00013,2026-06-01,650,527.33
C00013,2026-07-01,650,480.53
C00013,2026-08-01,650,491.66
C00014,2026-06-01,750,562.62
C00014,2026-07-01,750,552.47
C00014,2026-08-01,750,585.71
C00015,2026-06-01,700,561.74
C00015,2026-07-01,700,492.4
C00015,2026-08-01,700,536.3
C00016,2026-06-01,700,534.34
C00016,2026-07-01,700,539.13
C00016,2026-08-01,700,547.2
C00017,2026-06-01,650,602.72
C00017,2026-07-01,650,581.4
C00017,2026-08-01,650,545.77
C00018,2026-06-01,400,338.55
C00018,2026-07-01,400,349.96
C00018,2026-08-01,400,313.98
C00019,2026-06-01,450,387.63
C00019,2026-07-01,450,320.75
C00019,2026-08-01,450,324.61
C00020,2026-06-01,700,664.7
C00020,2026-07-01,700,657.74
C00020,2026-08-01,700,604.52
C00021,2026-06-01,550,379.65
C00021,2026-07-01,550,424.25
C00021,2026-08-01,550,418.46
C00022,2026-06-01,700,558.25
C00022,2026-07-01,700,594.64
C00022,2026-08-01,700,598.8
C00023,2026-06-01,700,513.07
C00023,2026-07-01,700,573.26
C00023,2026-08-01,700,570.55
C00024,2026-06-01,400,352.66
C00024,2026-07-01,400,328.62
C00024,2026-08-01,400,305.25
C00025,2026-06-01,450,365.54
C00025,2026-07-01,450,347.15
C00025,2026-08-01,450,393.55
C00026,2026-06-01,700,573.56
C00026,2026-07-01,700,557.94
C00026,2026-08-01,700,595.79
C00027,2026-06-01,600,486.47
C00027,2026-07-01,600,494.62
C00027,2026-08-01,600,445.98
C00028,2026-06-01,700,647.19
C00028,2026-07-01,700,618.54
C00028,2026-08-01,700,601.15
C00029,2026-06-01,700,531.28
C00029,2026-07-01,700,500.04
C00029,2026-08-01,700,493.22
C00030,2026-06-01,600,475.92
C00030,2026-07-01,600,509.28
C00030,2026-08-01,600,485.32
C00031,2026-06-01,700,511.42
C00031,2026-07-01,700,579.22
C00031,2026-08-01,700,511.71
C00032,2026-06-01,750,618.46
C00032,2026-07-01,750,567.22
C00032,2026-08-01,750,619.67
C00033,2026-06-01,650,522.11
C00033,2026-07-01,650,502.11
C00033,2026-08-01,650,557.05
C00034,2026-06-01,700,539.68
C00034,2026-07-01,700,568.36
C00034,2026-08-01,700,557.66
C00035,2026-06-01,350,259.32
C00035,2026-07-01,350,254.55
C00035,2026-08-01,350,274.96
C00036,2026-06-01,650,593.18
C00036,2026-07-01,650,580.54
C00036,2026-08-01,650,609.13
C00037,2026-06-01,500,343.24
C00037,2026-07-01,500,388.54
C00037,2026-08-01,500,396.1
C00038,2026-06-01,550,418.69
C00038,2026-07-01,550,431.96
C00038,2026-08-01,550,429.82
C00039,2026-06-01,600,460.73
C00039,2026-07-01,600,442.85
C00039,2026-08-01,600,504.47
C00040,2026-06-01,700,596.72
C00040,2026-07-01,700,558.65
C00040,2026-08-01,700,612.57
C00041,2026-06-01,550,429.87
C00041,2026-07-01,550,456.51
C00041,2026-08-01,550,499.6
C00042,2026-06-01,700,554.22
C00042,2026-07-01,700,569.82
C00042,2026-08-01,700,626.34
C00043,2026-06-01,400,330.87
C00043,2026-07-01,400,342.98
C00043,2026-08-01,400,322.97
C00044,2026-06-01,500,471.28
C00044,2026-07-01,500,401.04
C00044,2026-08-01,500,475.15
