obligation_id,case_id,obligation_month,obligation_type,amount_due
O0000001,C00001,2026-06-01,CURRENT,550
O0000002,C00001,2026-07-01,CURRENT,550
O0000003,C00001,2026-08-01,CURRENT,550
O0000004,C00002,2026-06-01,CURRENT,500
O0000005,C00002,2026-07-01,CURRENT,500
O0000006,C00002,2026-08-01,CURRENT,500
O0000007,C00003,2026-06-01,CURRENT,750
O0000008,C00003,2026-07-01,CURRENT,750
O0000009,C00003,2026-08-01,CURRENT,750
O0000010,C00004,2026-06-01,CURRENT,450
O0000011,C00004,2026-07-01,CURRENT,450
O0000012,C00004,2026-08-01,CURRENT,450
O0000013,C00005,2026-06-01,CURRENT,450
O0000014,C00005,2026-07-01,CURRENT,450
O0000015,C00005,2026-08-01,CURRENT,450
O0000016,C00006,2026-06-01,CURRENT,700
O0000017,C00006,2026-07-01,CURRENT,700
O0000018,C00006,2026-08-01,CURRENT,700
O0000019,C00007,2026-06-01,CURRENT,350
O0000020,C00007,2026-07-01,CURRENT,350
O0000021,C00007,2026-08-01,CURRENT,350
O0000022,C00008,2026-06-01,CURRENT,450
O0000023,C00008,2026-07-01,CURRENT,450
O0000024,C00008,2026-08-01,CURRENT,450
O0000025,C00009,2026-06-01,CURRENT,550
O0000026,C00009,2026-07-01,CURRENT,550
O0000027,C00009,2026-08-01,CURRENT,550
O0000028,C00010,2026-06-01,CURRENT,350
O0000029,C00010,2026-07-01,CURRENT,350
O0000030,C00010,2026-08-01,CURRENT,350
O0000031,C00011,2026-06-01,CURRENT,550
O0000032,C00011,2026-07-01,CURRENT,550
O0000033,C00011,2026-08-01,CURRENT,550
O0000034,C00012,2026-06-01,CURRENT,400
O0000035,C00012,2026-07-01,CURRENT,400
O0000036,C00012,2026-08-01,CURRENT,400
O0000037,C00013,2026-06-01,CURRENT,650
O0000038,C00013,2026-07-01,CURRENT,650
O0000039,C00013,2026-08-01,CURRENT,650
O0000040,C00014,2026-06-01,CURRENT,750
O0000041,C00014,2026-07-01,CURRENT,750
O0000042,C00014,2026-08-01,CURRENT,750
O0000043,C00015,2026-06-01,CURRENT,700
O0000044,C00015,2026-07-01,CURRENT,700
O0000045,C00015,2026-08-01,CURRENT,700
O0000046,C00016,2026-06-01,CURRENT,700
O0000047,C00016,2026-07-01,CURRENT,700
